X,Y,OBJECTID_1,OBJECTID,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,Label,TLT,PL,POINT_X,POINT_Y
-71.004120575202592,42.388798681073467,1,1,1,Guild Bldg,195 Leyden Street,East Boston,02128,4061,4061,Guild Elementary,Guild,ES, , ,52,3,Grace,790128.152748,2967094.37762
-71.030480292384141,42.378545298399878,2,2,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,02128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES, , ,72,3,Grace,783027.745829,2963317.53394
-71.033890583919728,42.375278677150646,3,3,4,Otis Bldg,218 Marion Street,East Boston,02128,4322,4322,Otis Elementary,Otis,ES, , ,106,3,Grace,782112.823908,2962122.05733
-71.038010718154226,42.37808861721215,4,4,6,Odonnell Bldg,33 Trenton Street,East Boston,02128,4543,4543,O'Donnell Elementary,O'Donnell,ES, , ,103,3,Grace,780994.000003,2963139.99999
-71.034921434255651,42.38095745717991,5,5,7,East Boston High Bldg,86 White Street,East Boston,02128,1070,1070,East Boston High,East Boston HS,HS, , ,36,2,Joel,781823.000004,2964189.99999
-71.040329824559478,42.378289993261447,6,6,8,Umana / Barnes Bldg,312 Border Street,East Boston,02128,4323,4323,Umana Academy,Umana Academy,K-8, , ,124,3,Grace,780367.000002,2963209.99999
-71.03411994921963,42.369676022773504,7,7,10,East Boston Eec Bldg,135 Gove Street,East Boston,02128,4450,4450,East Boston EEC,East Boston EEC,ELC, , ,35,1,Marice,782062.000004,2960079.99998
-71.034307583171298,42.369273675959718,8,8,11,Mckay Bldg,122 Cottage Street,East Boston,02128,4360,4360,McKay K-8,McKay K-8,K-8, , ,89,3,Grace,782012.09674,2959933.10018
-71.034890311047619,42.365563005099283,9,9,12,Adams Bldg,165 Webster Street,East Boston,02128,4361,4361,Adams Elementary,Adams,ES, , ,1,3,Grace,781862.000004,2958580.00002
-71.05749224520838,42.376628517401734,10,10,13,Harvard-Kent,50 Bunker Hill Street,Charlestown,02129,4280,4280,Harvard/Kent Elem,Harvard/Kent,ES, , ,55,3,Grace,775732.999998,2962579.99999
-71.061070593019494,42.380118677406166,11,11,14,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,02129,1050,1050,Charlestown High,Charlestown HS,HS, , ,21,4,Jonathan,774759.589533,2963846.89176
-71.067231244321462,42.379080355474635,12,12,15,Edwards Bldg,28 Walker Street,Charlestown,02129,2010,2010,Edwards Middle,Edwards MS,MS, , ,38,3,Grace,773096.999996,2963459.99999
-71.064430592758541,42.377998676579331,13,13,16,Warren-Prescott Bldg,50 School Street,Charlestown,02129,4283,4283,Warren/Prescott K-8,Warren/Prescott K-8,K-8, , ,128,3,Grace,773855.716508,2963069.66485
-71.053369669707493,42.36610274159122,14,14,17,Eliot Bldg,16 Charter Street,Boston,02113,4381,4381,Eliot K-8,Eliot K-8,K-8, , ,39,1,Marice,776866.999999,2958750.00002
-71.069050246565709,42.348408293305269,15,15,21,Abraham Lincoln Building,152 Arlington Street,Boston,02116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , ,112,4,Jonathan,772661.999995,2952280.00001
-71.064920592332612,42.347978670540776,16,16,22,Boston HS Bldg,885 Washington Street,Boston,02111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12, , ,111,3,Grace,773779.124764,2952129.10459
-71.077970596390585,42.350578670999262,17,17,24,Snowden Hs Bldg,150 Newbury Street,Boston,02116,1200,1200,Snowden International,Snowden HS,HS, , ,116,4,Anthony,770246.740985,2953058.86974
-71.073520594017609,42.344368669560012,18,18,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared, ,90,3,Grace,771460.937914,2950801.81198
-71.073520594017609,42.344368669560012,19,19,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1294,1294,McKinley So. End Acad,McKinley S. End Acad,Special,Shared, ,93,3,Grace,771460.937914,2950801.81198
-71.077740595824949,42.338758668670373,20,20,27,Hurley Bldg,70 Worcester Street,Boston,02118,4260,4260,Hurley K-8,Hurley K-8,K-8, , ,66,1,Marice,770330.236569,2948751.74884
-71.072461066279729,42.340737551544919,21,21,28,Blackstone Bldg,380 Shawmut Avenue,Boston,02118,4640,4640,Blackstone Elementary,Blackstone,ES, , ,7,3,Grace,771753.999994,2949480.00001
-71.071331405280972,42.326217031375023,22,22,31,Mason Bldg,150 Norfolk Avenue,Roxbury,02119,4121,4121,Mason Elementary,Mason,ES, , ,85,1,Marice,772085.999995,2944190
-71.058191344203635,42.32317619487457,23,23,33,Clap Bldg,35 Harvest Street,Dorchester,02125,4531,4531,Clap Elementary,Clap,ES, , ,23,1,Christine,775644.999998,2943100
-71.050540585894112,42.331318668452589,24,24,35,Perkins Bldg,50 Burke Street,South Boston,02127,4022,4022,Perkins Elementary,Perkins,ES, , ,108,1,Christine,777698.3368,2946078.06208
-71.044890584106909,42.332868668649837,25,25,36,South Boston Ed. Bldg,95 G Street,South Boston,02127,1162,1162,Excel High,Excel HS,HS, ,S. Boston EC,45,1,Christine,779223.039425,2946651.00928
-71.038411284412149,42.334870707795588,26,27,37,Tynan Bldg,650 E. Fourth Street,South Boston,02127,4590,4590,Tynan Elementary,Tynan,ES, , ,123,1,Christine,780971.000003,2947390
-71.030198743759769,42.332120768615553,27,28,38,Perry Bldg,745 E. Seventh Street,South Boston,02127,4592,4592,Perry K-8,Perry K-8,K-8, , ,109,1,Christine,783197.000005,2946400
-71.059549408574298,42.320382411340674,28,29,39,Russell Bldg,750 Columbia Road,Dorchester,02125,4530,4530,Russell Elementary,Russell,ES, , ,115,1,Christine,775282.999998,2942080
-71.077909018974779,42.330275209898616,29,30,42,Orchard Gardens K-8,906 Albany Street,Roxbury,02119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8, , ,105,1,Marice,770299.999993,2945660
-71.174340624005168,42.282268654205879,30,32,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,02132,1256,1256,West Roxbury Academy,W. Roxbury Acad,HS,Shared, ,129,2,Joel,744291.893473,2928051.28111
-71.050429656763143,42.333573721970659,31,34,34,Gavin Bldg,215 Dorchester Street,South Boston,02127,2450,2450,UP Academy Boston,UP Academy Boston,MS, , ,125,1,Christine,777724,2946900
-71.081710596888627,42.327028666048328,32,35,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,02119,1410,1410,Boston Day and Evening Academy,BDEA,Special, , ,10,4,Freddie,769277.865976,2944471.83911
-71.083839975495948,42.340559774424385,33,36,45,Carter Center Bldg,396 Northampton Street,Roxbury,02118,4261,4261,Carter Center,Carter Center,Special, , ,19,1,Marice,768677.999992,2949400.00001
-71.09029059972147,42.33175866666857,34,37,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,02120,1210,1210,Madison Park High,Madison Park HS,HS, , ,82,4,Ligia,766949.45791,2946184.2737
-71.088792599082069,42.332038667227394,35,38,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,02120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,6/7-12, , ,102,4,Anthony,767354.011766,2946288.25978
-71.09097059931554,42.330398666249295,36,39,49,Timilty Bldg,205 Roxbury Street,Roxbury,02119,2040,2040,Timilty Middle,Timilty MS,MS, , ,120,2,Kelly,766767.96863,2945687.78285
-71.091040599395356,42.325548665612331,37,40,50,Hale Bldg,51 Cedar Street,Roxbury,02119,4113,4113,Hale Elementary,Hale,ES, , ,53,1,Marice,766757.515094,2943920.26672
-71.086309566674217,42.320948343182138,38,41,51,Lewis Bldg,131 Walnut Avenue,Roxbury,02119,4242,4242,Higginson/Lewis (3-8),Higginson/Lewis (3-8),K-8, , ,62,1,Marice,768044.999991,2942250
-71.078939129092163,42.314966854479408,39,42,53,Blue Hill Ave Eec Bldg,263 Blue Hill Ave,Roxbury,02119,4460,4460,Haynes EEC,Haynes EEC,ELC, , ,56,1,Marice,770048.999993,2940080
-71.087841054297712,42.315740034881784,40,43,54,Trotter Bldg,135 Humboldt Avenue,Dorchester,02121,4580,4580,Trotter K-8,Trotter K-8,K-8, , ,122,2,Kelly,767639.999991,2940350
-71.084500596434282,42.316158664034354,41,44,55,Boston Latin Academy Bldg,205 Townsend Street,Boston,02121,1020,1020,Boston Latin Academy,Boston Latin Acad,6/7-12, , ,13,4,Jonathan,768542.714999,2940506.93881
-71.092891595445749,42.316334299557376,42,45,56,Ellis Bldg,302 Walnut Avenue,Roxbury,02119,4240,4240,Ellis Elementary,Ellis,ES, , ,41,1,Marice,766272.999989,2940560
-71.075626600836642,42.318202650509797,43,46,57,Winthrop Bldg,35 Brookford Street,Dorchester,02125,4052,4052,Winthrop Elementary,Winthrop,ES, , ,132,2,Joel,770939.048026,2941263.61709
-71.076196593480219,42.31129966337307,44,47,58,King Bldg,77 Lawrence Avenue,Dorchester,02121,4055,4055,King K-8,King K-8,K-8, , ,76,1,Marice,770797.393082,2938747.29008
-71.075410824966426,42.309054022910168,45,48,59,Frederick Middle,270 Columbia Road,Dorchester,02121,2360,2360,Frederick Pilot Middle,Frederick MS,MS, , ,47,1,Christine,771013.999994,2937930
-71.073859018656393,42.305618129084884,46,49,62,Holland Bldg,85 Olney Street,Dorchester,02121,4250,4250,UP Academy Holland,UP Holland,ES, , ,63,1,Christine,771439.999994,2936679.99999
-71.061011771919439,42.308396211936071,47,50,63,Mather Bldg,1 Parish Street,Dorchester,02122,4350,4350,Mather Elementary,Mather,ES, , ,86,2,Kelly,774909.999997,2937710
-71.070729431728182,42.299926147124573,48,52,67,Marshall Bldg,35 Westville Street,Dorchester,02124,4345,4345,UP Academy Charter School of Dorchester,UP Academy of Dorchester,K-8, , ,126,1,Christine,772296.999995,2934609.99999
-71.062220644047997,42.293966726809167,49,53,69,Ohearn Bldg,1669 Dorchester Avenue,Dorchester,02122,4391,4391,Henderson Lower (K0-1),Henderson Lower (K0-1),K-12, , ,57,2,Kelly,774609.999997,2932449.99999
-71.049194058411459,42.294206177035555,50,54,70,Murphy Bldg,1 Worrell Street,Dorchester,02122,4400,4400,Murphy K-8,Murphy K-8,K-8, , ,99,2,Kelly,778133.906432,2932555.6167
-71.05319153733501,42.286550250407792,51,55,71,Kenny Bldg,19 Oakton Avenue,Dorchester,02122,4390,4390,Kenny Elementary,Kenny,ES, , ,73,2,Kelly,777066.999999,2929759.99999
-71.069569926839065,42.281261727460347,52,56,72,Wilson Bldg,18 Croftland Avenue,Dorchester,02124,1140,1140,Henderson Upper (2-12),Henderson Upper (2-12),K-12, , ,58,2,Kelly,772644.999995,2927809.99999
-71.077430566036455,42.277860746256877,53,57,73,Taylor Bldg,1060 Morton Street,Mattapan,02126,4151,4151,Taylor Elementary,Taylor,ES, , ,118,2,Kelly,770523.999993,2926559.99999
-71.080910594145777,42.281418657595005,54,58,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1990,1990,Boston International HS,Boston Intl HS,Special,Shared, ,12,4,Anthony,769575.860504,2927851.90514
-71.080910594145777,42.281418657595005,55,59,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1991,1991,Newcomers Academy,Newcomers Acad,Special,Shared, ,101,4,Anthony,769575.860504,2927851.90514
-71.09042959600346,42.27676065695961,56,60,77,Mildred Avenue Bldg,5 Mildred Avenue,Mattapan,02126,4671,4671,Mildred Avenue K-8,Mildred Ave K-8,K-8, , ,96,2,Kelly,767008.111766,2926141.9524
-71.07679145494096,42.287792154500146,57,61,78,Dorchester Ed. Bldg #1 - Main,9 Peacevale Road,Dorchester,02124,1460,1460,TechBoston Academy,TechBoston,6/7-12, , ,119,4,Anthony,770678.999993,2930179.99999
-71.080375419245556,42.29243810494426,58,62,80,Lee Bldg,155 Talbot Avenue,Dorchester,02124,4290,4290,Lee K-8,Lee K-8,K-8, , ,78,2,Kelly,769700.926306,2931868.26054
